"timestamp","source_path","destination_path","category","confidence","action_taken","rename_collision_notes"
"2026-04-03T22:00:51.9050024-04:00","C:\Users\riley\Axiom\the-omniscient-axiom-launcher","C:\Users\riley\Drive-Staging\Axiom\06_Operations\the-omniscient-axiom-launcher","Axiom","high","skipped_execution_risk","Folder contains excluded repo internals (.git/node_modules/.next/cache); moving whole unit would violate exclusions"
"2026-04-03T22:00:51.9245620-04:00","C:\Users\riley\Documents\GitHub\axiom-site","C:\Users\riley\Drive-Staging\Axiom\07_Website\axiom-site","Axiom","high","skipped_execution_risk","Folder contains excluded repo internals (.git/node_modules/.next/cache); moving whole unit would violate exclusions"
"2026-04-03T22:00:51.9255632-04:00","C:\Users\riley\Documents\GitHub\axiom-ops","C:\Users\riley\Drive-Staging\Axiom\06_Operations\axiom-ops","Axiom","high","skipped_execution_risk","Folder contains excluded repo internals (.git/node_modules/.next/cache); moving whole unit would violate exclusions"
"2026-04-03T22:00:51.9275697-04:00","C:\Users\riley\Documents\GitHub\axiom-site-clean-check","C:\Users\riley\Drive-Staging\Axiom\07_Website\Review\axiom-site-clean-check","Axiom","medium","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:51.9275697-04:00","C:\Users\riley\Documents\New project\the-omniscient-axiom-launcher","C:\Users\riley\Drive-Staging\Axiom\06_Operations\Review\the-omniscient-axiom-launcher","Axiom","medium","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:51.9290844-04:00","C:\Users\riley\Documents\New project\axiom-site","C:\Users\riley\Drive-Staging\Axiom\07_Website\Review\axiom-site","Axiom","medium","skipped_confidence_threshold","Not executed because confidence is below strict high-confidence threshold"
"2026-04-03T22:00:51.9290844-04:00","C:\Users\riley\Downloads\omniscient_v4_leads_2026-03-18.csv","C:\Users\riley\Drive-Staging\Axiom\03_Leads\omniscient_v4_leads_2026-03-18.csv","Axiom","high","moved",""
"2026-04-03T22:00:51.9380933-04:00","C:\Users\riley\Downloads\Omniscient Setup Guide.pdf","C:\Users\riley\Drive-Staging\Axiom\06_Operations\Omniscient Setup Guide.pdf","Axiom","high","moved",""
"2026-04-03T22:00:51.9406144-04:00","C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A1","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A1","School","high","moved",""
"2026-04-03T22:00:51.9670077-04:00","C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A2","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A2","School","high","moved",""
"2026-04-03T22:00:51.9725207-04:00","C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A3","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A3","School","high","moved",""
"2026-04-03T22:00:51.9795306-04:00","C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_Assignment 2_INC","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_Assignment_2_INC","School","high","moved",""
